what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450826279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450830863
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493450833964
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1493450836077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450839288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450843591
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1493450850387
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1493450850551
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493450874137
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1493450874137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450877079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450908943
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1493450913482
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493450914746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493450926390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450928448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450965693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493450968043
